Error Code,Description,Explanation,Suggestion
C 4 A 1,Lost communication with Controller,Communication is being interfered,"a) Check Ethernet cable between Control Board and Motherboard, check that a script or UR+software is not overloading the communication between the Control Board and Motherboard. b) Check cable between controller and robot b) Do a Complete rebooting sequence. c) Update the software"
C 4 A 2,Lost communication with Safety Control Board A u P,,a) Check TCP/IP connection between Motherboard and Control Board. b) Do a Complete rebooting sequence. c) Replace Safety Control Board
C 4 A 3,Communication with Safety Control Board Bu P lost,,a) Check TCP/IP connection between Motherboard and Control Board. b) Do a Complete rebooting sequence. c) Replace Safety Control Board
C 4 A 4,Communication with primary Teach Pendant u P lost,,a) Check RS 485-12 V connection between Motherboard and Teach Pendant. b) Do a Complete rebooting sequence. c) Replace Teach Pendant
C 4 A 5,Communication with secondary Teach Pendant u P lost,,a) Check RS 485-12 V connection between Motherboard and Teach Pendant. b) Do a Complete rebooting sequence. c) Replace Teach Pendant
C 4 A 6,Communication with primary EURO MAP 67 u P lost,,a) Check Euro map 67 connection between Motherboard and Teach Pendant. b) Do a Complete rebooting sequence. c) Replace Teach Pendant
C 4 A 7,Communication with secondary EURO MAP 67 u P lost,,a) Check Euro map 67 connection between Motherboard and Teach Pendant. b) Do a Complete rebooting sequence. c) Replace Teach Pendant
C 4 A 8,"Primary EURO MAP 67 u P present, but euro map 67 is disabled",Incorrect safety configuration,a) Update the miscellaneous settings in the Safety Configuration. b) Do a Complete rebooting sequence
C 4 A 9,"Secondary EURO MAP 67 u P present, but euro map 67 is disabled",Incorrect safety configuration,a) Update the miscellaneous settings in the Safety Configuration. b) Do a Complete rebooting sequence
C 4 A 10,"Primary Teach Pendant present, but Teach Pendant safety is disabled",Incorrect safety configuration,a) Update the miscellaneous settings in the Safety Configuration. b) Do a Complete rebooting sequence
C 4 A 11,"Secondary Teach Pendant u P present, Teach Pendant safety is disabled",Incorrect safety configuration,a) Update the miscellaneous settings in the Safety Configuration. b) Do a Complete rebooting sequence
C 4 A 12,Communication with joint 0 lost,More than 1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 13,Communication with joint 1 lost,More than 1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 14,Communication with joint 2 lost,More than 1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 15,Communication with joint 3 lost,More than 1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 16,Communication with joint 4 lost,More than 1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 17,Communication with joint 5 lost,More than 1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 18,Communication with tool lost,More than 1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 65,Lost package from Primary Teach Pendant,1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 66,Lost package from Secondary Teach Pendant,1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 67,Lost package from Primary Euro map 67,1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 68,Lost package from Secondary Euro map 67,1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 69,Lost package from Secondary Master board,1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 70,Lost package from joint 0,Serial communication problem with one or more joints,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 71,Lost package from joint 1,Serial communication problem with one or more joints,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 72,Lost package from joint 2,Serial communication problem with one or more joints,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 73,Lost package from joint 3,Serial communication problem with one or more joints,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 74,Lost package from joint 4,Serial communication problem with one or more joints,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 75,Lost package from joint 5,Serial communication problem with one or more joints,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 76,Lost package from tool,Serial communication problem with one or more joints,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 77,Lost package from u PA to joints,1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 78,Lost package from u PA to teach pendant,1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 79,Lost package from u PA tou PB,1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 80,Lost package from u PB,1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 81,Packet counter disagreement in packet from Primary Screen,Safety processor 1 in Teach Pendant has a packet disagreement,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 82,Packet counter disagreement in packet from Secondary Screen,Safety processor 2 in Teach Pendant has a packet disagreement,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 83,Packet counter disagreement in packet from Primary Euro map 67,More than 1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 84,Packet counter disagreement in packet from Secondary Euro map 67,More than 1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 85,Packet counter disagreement in packet from Safety Control Board B,More than 1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 86,Packet counter disagreement in packet from joint 0,More than 1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 87,Packet counter disagreement in packet from joint 1,More than 1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 88,Packet counter disagreement in packet from joint 2,More than 1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 89,Packet counter disagreement in packet from joint 3,More than 1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 90,Packet counter disagreement in packet from joint 4,More than 1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 91,Packet counter disagreement in packet from joint 5,More than 1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 92,Packet counter disagreement in packet from tool,More than 1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 93,Packet counter disagreement in packet from processor A to joints,More than 1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 94,Packet counter disagreement in packet from processor A to B,More than 1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 95,Packet counter disagreement in packet from processor A to Teach Pendant and EURO MAP,More than 1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 4 A 100,Communication lost due to Packet counter disagreements,More than 1 package lost,a) Verify that the communication cables are connected properly. b) Do a Complete rebooting sequence
C 5 A,Heavy processor load warning,Too much instructions being sent at the same time,Review communication frequency between robot and external equipment
C 10 A,Controller communication issue,,
C 10 A 1,Lost packet from Controller,,
C 10 A 101,Controller packet received too early,,
C 10 A 102,Packet counter does not match,,
C 10 A 103,Controller is sending packets too often,,
C 11 A,Bad CRC,Serial communication problem with joint,Check black 2-wire connectors and wires in joints
C 12 A,Unknown message error,,
C 14 A 1,Debug message,,
C 14 A 2,Debug message,,
C 14 A 3,Debug message,,
C 17 A,Communication error between Safety Control Board and Motherboard,,a) Check Ethernet connection between circuit boards b) Do a Complete rebooting sequence c) Update the software
C 25 A,Motor Encoder index missing,Joint’s encoder system mechanical problem,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace joint c) Contact your local UR provider"
C 26 A,Motor Encoder index drift detected,Joint’s encoder system mechanical problem,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace joint c) Contact your local UR provider"
C 27 A,Calibration data is invalid or does not exist.,Calibration needed,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace joint"
C 29 A,Online Calibration data checksum failed,,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace joint"
C 30 A,Master received data from too many joints,,
C 31 A,Caught wrong message (not from master),Serial communication problem with joint,Check black 2-wire connectors and wires on joints
C 32 A,Flash write verify failed,,
C 33 A,Calibration flash checksum failed,,
C 34 A,Program flash checksum failed,,Update Firmware
C 34 A 0,Program flash checksum failed during boot loading,,Update Firmware
C 34 A 1,Program flash checksum failed at runtime,,Update Firmware
C 37 A,In buffer parse error,Serial communication problem with joint,Check black 2-wire connectors and wires on joints
C 38 A,Online RAM test failed,,Check the log file for what item is reporting this error. Replace the reported item
C 38 A 1,Data-bus test failed,,Check the log file for what item is reporting this error. Replace the reported item
C 38 A 2,Address-bus stuck- hightest failed,,Check the log file for what item is reporting this error. Replace the reported item
C 38 A 3,Address-bus stuck- low test failed,,Check the log file for what item is reporting this error. Replace the reported item
C 38 A 4,Address-bus shorted test failed,,Check the log file for what item is reporting this error. Replace the reported item
C 38 A 5,Memory-cell test failed,,Check the log file for what item is reporting this error. Replace the reported item
C 39 A,Logic and Temporal Monitoring Fault,,
C 39 A 1,Max current deviation failure,,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace joint"
C 39 A 2,Max joint-encoder speed exceeded,,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace joint"
C 39 A 3,Max motor-encoder speed exceeded,,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace joint"
C 39 A 4,Illegal state change in joint detected,,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace joint"
C 39 A 5,A timing issue occurred during startup.,Too fast state change in joint detected,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace joint"
C 39 A 6,5 V regulator voltage too low,,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace joint"
C 39 A 7,5 V regulator voltage too high,,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace joint"
C 39 A 100,Watch point fault: ADC task time out,,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace joint"
C 39 A 101,Watch point fault: Motor-Control task timeout,,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace joint"
C 39 A 102,Watch point fault: Motor-encoder task timeout,,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace joint"
C 39 A 103,Watch point fault: Joint-encoder task timeout,,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace joint"
C 39 A 104,Watch point fault: Communication task timeout,,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace joint"
C 39 A 105,Watch point fault: RAM-test task timeout,,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace joint"
C 39 A 106,Watch point fault: Cal Val-test task timeout,,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace joint"
C 39 A 107,Watch point fault: ROM-test task timeout,,"a) Do a Complete rebooting sequence. b) If this happens more than two times in a row, replace joint"
C 40 A,AD-Converter hit high limit joint,EMC issue external or electronics internal,Check grounding and shielding for EMC problems
C 41 A,RC Oscillator Trim register hit high limit,,
C 42 A,RC Oscillator Trim register hit low limit,,
C 43 A,Change in invariant memory detected,,
C 43 A 1,Current sensor gain,,
C 44 A,CRC check failure on primary bus,Serial communication problem with joint or secondary bus node,"a) Check black 2-wire connectors and wires in joints. b) Do a Complete rebooting sequence. c) If this happens more than two times in a row, contact your local service provider for assistance."
C 44 A 0,Base,Serial communication problem with joint or secondary bus node,"a) Check black 2-wire connectors and wires in joints. b) Do a Complete rebooting sequence. c) If this happens more than two times in a row, contact your local service provider for assistance."
C 44 A 1,Shoulder,Serial communication problem with joint or secondary bus node,"a) Check black 2-wire connectors and wires in joints. b) Do a Complete rebooting sequence. c) If this happens more than two times in a row, contact your local service provider for assistance."
C 44 A 2,Elbow,Serial communication problem with joint or secondary bus node,"a) Check black 2-wire connectors and wires in joints. b) Do a Complete rebooting sequence. c) If this happens more than two times in a row, contact your local service provider for assistance."
C 44 A 3,Wrist 1,Serial communication problem with joint or secondary bus node,"a) Check black 2-wire connectors and wires in joints. b) Do a Complete rebooting sequence. c) If this happens more than two times in a row, contact your local service provider for assistance."
C 44 A 4,Wrist 2,Serial communication problem with joint or secondary bus node,"a) Check black 2-wire connectors and wires in joints. b) Do a Complete rebooting sequence. c) If this happens more than two times in a row, contact your local service provider for assistance."
C 44 A 5,Wrist 3,Serial communication problem with joint or secondary bus node,"a) Check black 2-wire connectors and wires in joints. b) Do a Complete rebooting sequence. c) If this happens more than two times in a row, contact your local service provider for assistance."
C 44 A 6,Tool,Serial communication problem with joint or secondary bus node,"a) Check black 2-wire connectors and wires in joints. b) Do a Complete rebooting sequence. c) If this happens more than two times in a row, contact your local service provider for assistance."
C 44 A 80,CRC Check failure on primary bus.,Interference on the communication field bus.,"a) Check black 2-wire connectors and wires in joints. b) Do a Complete rebooting sequence. c) If this happens more than two times in a row, contact your local service provider for assistance."
C 45 A,AD-Converter error,,
C 46 A,Loose gearbox or bad encoder mounting,Mechanical problem in gear related to encoder mounting,"a) Do a Complete rebooting sequence b) If this happens more than two times in a row, replace joint"
C 47 A,AD-Converter hit low limit,EMC issue external or electronics internal,Check grounding and shielding for EMC problems
C 49 A,RS 485 receive warning,,
C 49 A 200,Secondary RS 485 bus is down,"Bus for: Teach Pendant, Processor A and Processor Bon Control Board",Check TCP/IP-12 V cable to Teach Pendant
C 50 A,Robot power up issue,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 1,Voltage detected at 24 V rail before startup,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 2,Voltage present at unpowered robot,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 5,Power supply voltage too low,Electrical error control box,Check 48 V cable between power supply and Control Board
C 50 A 6,Power supply voltage too high,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 11,Voltage not detected at 24 V rail after startup,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 15,"Warning, waiting for Safety S YS 2",Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 16,The Teach Pendant does not respond,Loose wire or incorrect safety configuration,a) Check the Teach Pendant cable and connections. b) Check the settings in the miscellaneous tab in the Safety menu
C 50 A 17,The Euro map 67 interface does not respond,Loose wire or incorrect safety configuration,a) Check the Euro map 67 cable and connections. b) Check the settings in the miscellaneous tab in the Safety menu
C 50 A 18,"Warning, waiting for Safety S YS 1",Safety S YS 1 = Processor A on Safety Control Board,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 19,"Warning, Waiting for a valid""euro map 67 activated"" status bit from secondary Safety Control Board",Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 20,"5 V, 3 V 3 or ADC error (5 V too high)",Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 21,"5 V, 3 V 3 or ADC error (5 V too low)",Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 22,Robot current sensor reading too high,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 23,Robot current sensor reading too low,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 24,48 V not present (Check internal connection),Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 25,Robot voltage present at 48 V PSU power eup,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 26,Voltage present on unpowered 48 V power supply,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 27,"12 V, 3 V 3 or ADC error (12 V too high)",Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 28,"12 V, 3 V 3 or ADC error (12 V too low)",Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 29,Analog I/O error (- 12 V too high),Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 30,Analog I/O error (- 12 V too low),Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 31,The other safety S YS do not initialize,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 40,Wrong voltage from PSU 1,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 41,Wrong voltage from PSU 2,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 42,Voltage will not disappear from PSU,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 43,"Warning, waiting for CB 2 type answer from primary processor",Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 50,Processor A 3.3 V supply voltage out of bounds,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 51,Robot voltage below threshold,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 52,Robot voltage above threshold,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 53,58 V generator deviation error,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 54,5 V regulator too low,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 55,5 V regulator too high,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 56,-4 V generator too low,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 57,-4 V generator too high,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 80,Last CPU reset caused by Low- Power-Reset,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 81,Last CPU reset caused by Window- Watchdog-Reset,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 82,Last CPU reset caused by Independent- Watchdog-Reset,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 83,Last CPU reset caused by Software- Reset,The Control Board was reset on explicit request.,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 84,Last CPU reset caused by External- Pin-Reset,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
C 50 A 85,Last CPU reset caused by Brown- Out-Reset,Electrical error control box,Remove all external connections to I/O-interface of Safety Control Board. Check for short circuit
