timestamp_ms,setpoint_pos_0,setpoint_pos_1,setpoint_pos_2,setpoint_pos_3,setpoint_pos_4,setpoint_pos_5,setpoint_speed_0,setpoint_speed_1,setpoint_speed_2,setpoint_speed_3,setpoint_speed_4,setpoint_speed_5,setpoint_acc_0,setpoint_acc_1,setpoint_acc_2,setpoint_acc_3,setpoint_acc_4,setpoint_acc_5,setpoint_tcp_0,setpoint_tcp_1,setpoint_tcp_2,setpoint_tcp_3,setpoint_tcp_4,setpoint_tcp_5,gripper_command,joint_temp_0,joint_temp_1,joint_temp_2,joint_temp_3,joint_temp_4,joint_temp_5,main_voltage,safety_mode,feedback_pos_0,feedback_pos_1,feedback_pos_2,feedback_pos_3,feedback_pos_4,feedback_pos_5,feedback_speed_0,feedback_speed_1,feedback_speed_2,feedback_speed_3,feedback_speed_4,feedback_speed_5,effort_current_0,effort_current_1,effort_current_2,effort_current_3,effort_current_4,effort_current_5,protective_stop_state,vibration_0,vibration_1,vibration_2,acoustic_0,est_contact_force_0,est_contact_force_1,est_contact_force_2,est_contact_force_3,est_contact_force_4,est_contact_force_5,true_force_0,true_force_1,true_force_2,true_force_3,true_force_4,true_force_5
0,0.3,-0.2,0.1,0.05,-0.05,0,0.1,0.08,0.06,0.04,0.02,0,1.5,1,0.5,0,-0.5,-1,0.7,0.1,0.6,0,0,0.2,0,40,39.5,39,38.5,38,37.5,395,0,0.29,-0.21,0.09,0.04,-0.04,0.01,0.09,0.09,0.05,0.05,0.03,0.01,3,2.8,2.5,2.2,2,1.8,0,0.3,0.25,0.2,80,10,5,20,1.5,0.8,0.5,9.5,4.5,18,1.2,0.7,0.4
10,0.31,-0.19,0.11,0.06,-0.04,0.01,0.11,0.09,0.07,0.05,0.03,0.01,1.5,1,0.5,0,-0.5,-1,0.71,0.11,0.61,0.01,0.01,0.21,0,40.2,39.7,39.2,38.7,38.2,37.7,396.5,0,0.3,-0.2,0.1,0.05,-0.03,0.02,0.1,0.1,0.06,0.06,0.04,0.02,3.2,3,2.7,2.4,2.1,1.9,0,0.31,0.26,0.21,81.5,11,6,22,1.7,0.9,0.6,10.5,5,19.5,1.3,0.8,0.5
20,0.32,-0.18,0.12,0.07,-0.03,0.02,0.12,0.1,0.08,0.06,0.04,0.02,1.5,1,0.5,0,-0.5,-1,0.72,0.12,0.62,0.02,0.02,0.22,0,40.4,39.9,39.4,38.9,38.4,37.9,398,0,0.31,-0.19,0.11,0.06,-0.02,0.03,0.11,0.11,0.07,0.07,0.05,0.03,3.3,3.1,2.8,2.5,2.2,2,0,0.32,0.27,0.22,83,12,7,24,1.9,1,0.7,11.5,5.5,21,1.5,0.9,0.6
30,0.33,-0.17,0.13,0.08,-0.02,0.03,0.13,0.11,0.09,0.07,0.05,0.03,1.5,1,0.5,0,-0.5,-1,0.73,0.13,0.63,0.03,0.03,0.23,0,40.6,40.1,39.6,39.1,38.6,38.1,399.5,0,0.32,-0.18,0.12,0.07,-0.01,0.04,0.12,0.12,0.08,0.08,0.06,0.04,3.4,3.2,2.9,2.6,2.3,2.1,0,0.33,0.28,0.23,84.5,13,8,26,2.1,1.1,0.8,12.5,6,22.5,1.6,1,0.7
40,0.34,-0.16,0.14,0.09,-0.01,0.04,0.14,0.12,0.1,0.08,0.06,0.04,1.5,1,0.5,0,-0.5,-1,0.74,0.14,0.64,0.04,0.04,0.24,0,40.8,40.3,39.8,39.3,38.8,38.3,401,0,0.33,-0.17,0.13,0.08,0,0.05,0.13,0.13,0.09,0.09,0.07,0.05,3.5,3.3,3,2.7,2.4,2.2,0,0.34,0.29,0.24,86,14,9,28,2.3,1.2,0.9,13.5,6.5,24,1.8,1.1,0.8
50,0.35,-0.15,0.15,0.1,0,0.05,0.15,0.13,0.11,0.09,0.07,0.05,1.5,1,0.5,0,-0.5,-1,0.75,0.15,0.65,0.05,0.05,0.25,0,41,40.5,40,39.5,39,38.5,402.5,0,0.34,-0.16,0.14,0.09,0.01,0.06,0.14,0.14,0.1,0.1,0.08,0.06,3.6,3.4,3.1,2.8,2.5,2.3,1,0.6,0.55,0.5,98,25,15,45,3,1.8,1.2,25,15,40,2.5,1.6,1.1
60,0.36,-0.14,0.16,0.11,0.01,0.06,0.14,0.12,0.1,0.08,0.06,0.04,0,-1,-2,-1.5,-1,-0.5,0.76,0.16,0.66,0.06,0.06,0.26,1,41.3,40.8,40.3,39.8,39.3,38.8,404,1,0.35,-0.15,0.15,0.1,0.02,0.07,0.13,0.13,0.09,0.09,0.07,0.05,3.7,3.5,3.2,2.9,2.6,2.4,1,0.62,0.57,0.52,99.5,27,17,47,3.2,2,1.3,26,16,42,2.7,1.7,1.2
70,0.37,-0.13,0.17,0.12,0.02,0.07,0.13,0.11,0.09,0.07,0.05,0.03,0,-1,-2,-1.5,-1,-0.5,0.77,0.17,0.67,0.07,0.07,0.27,1,41.6,41.1,40.6,40.1,39.6,39.1,405,1,0.36,-0.14,0.16,0.11,0.03,0.08,0.12,0.12,0.08,0.08,0.06,0.04,3.8,3.6,3.3,3,2.7,2.5,1,0.64,0.59,0.54,101,29,19,49,3.4,2.1,1.4,27,17,44,2.9,1.8,1.3
80,0.38,-0.12,0.18,0.13,0.03,0.08,0.12,0.1,0.08,0.06,0.04,0.02,0,-1,-2,-1.5,-1,-0.5,0.78,0.18,0.68,0.08,0.08,0.28,1,41.9,41.4,40.9,40.4,39.9,39.4,406,1,0.37,-0.13,0.17,0.12,0.04,0.09,0.11,0.11,0.07,0.07,0.05,0.03,3.9,3.7,3.4,3.1,2.8,2.6,1,0.66,0.61,0.56,102.5,31,21,51,3.6,2.2,1.5,28,18,46,3.1,1.9,1.4
90,0.39,-0.11,0.19,0.14,0.04,0.09,0.11,0.09,0.07,0.05,0.03,0.01,0,-1,-2,-1.5,-1,-0.5,0.79,0.19,0.69,0.09,0.09,0.29,1,42.2,41.7,41.2,40.7,40.2,39.7,407,1,0.38,-0.12,0.18,0.13,0.05,0.1,0.1,0.1,0.06,0.06,0.04,0.02,4,3.8,3.5,3.2,2.9,2.7,1,0.68,0.63,0.58,104,33,23,53,3.8,2.3,1.6,29,19,48,3.3,2,1.5
