timestamp_ms,setpoint_pos_0,setpoint_pos_1,setpoint_pos_2,setpoint_pos_3,setpoint_pos_4,setpoint_pos_5,setpoint_speed_0,setpoint_speed_1,setpoint_speed_2,setpoint_speed_3,setpoint_speed_4,setpoint_speed_5,setpoint_acc_0,setpoint_acc_1,setpoint_acc_2,setpoint_acc_3,setpoint_acc_4,setpoint_acc_5,setpoint_tcp_0,setpoint_tcp_1,setpoint_tcp_2,setpoint_tcp_3,setpoint_tcp_4,setpoint_tcp_5,gripper_command,joint_temp_0,joint_temp_1,joint_temp_2,joint_temp_3,joint_temp_4,joint_temp_5,main_voltage,safety_mode,feedback_pos_0,feedback_pos_1,feedback_pos_2,feedback_pos_3,feedback_pos_4,feedback_pos_5,feedback_speed_0,feedback_speed_1,feedback_speed_2,feedback_speed_3,feedback_speed_4,feedback_speed_5,effort_current_0,effort_current_1,effort_current_2,effort_current_3,effort_current_4,effort_current_5,protective_stop_state,vibration_0,vibration_1,vibration_2,acoustic_0,est_contact_force_0,est_contact_force_1,est_contact_force_2,est_contact_force_3,est_contact_force_4,est_contact_force_5,true_force_0,true_force_1,true_force_2,true_force_3,true_force_4,true_force_5
0,0,-0.1,0.2,0.1,-0.05,0,0.2,0.15,0.1,0.05,0,0,2,1.5,1,0.5,0,0,0.4,0.1,0.3,0,0,0.1,0,32,31.5,31,30.5,30,30,380,0,0,-0.11,0.19,0.09,-0.04,0.01,0.18,0.16,0.09,0.06,0.01,0,1.2,1,0.8,0.6,0.5,0.4,0,0.15,0.12,0.1,65,5,2,10,0.5,0.2,0.1,4.8,1.8,9.5,0.4,0.1,0
10,0.02,-0.09,0.22,0.12,-0.04,0.01,0.22,0.16,0.11,0.06,0.01,0,2,1.5,1,0.5,0,0,0.41,0.11,0.31,0.01,0.01,0.11,0,32.1,31.6,31.1,30.6,30.1,30.1,381.5,0,0.01,-0.1,0.21,0.11,-0.03,0.02,0.21,0.17,0.1,0.07,0.02,0.01,1.3,1.1,0.9,0.7,0.6,0.5,0,0.16,0.13,0.11,66.2,6,3,12,0.7,0.3,0.2,5.5,2.5,11,0.6,0.2,0.1
20,0.04,-0.08,0.24,0.14,-0.03,0.02,0.24,0.17,0.12,0.07,0.02,0.01,2,1.5,1,0.5,0,0,0.42,0.12,0.32,0.02,0.02,0.12,0,32.3,31.8,31.3,30.8,30.3,30.2,383,0,0.03,-0.09,0.23,0.13,-0.02,0.03,0.23,0.18,0.11,0.08,0.03,0.02,1.5,1.2,1,0.8,0.7,0.6,0,0.18,0.14,0.12,67.5,7,4,14,0.9,0.4,0.3,6.2,3,12.5,0.8,0.3,0.2
30,0.06,-0.07,0.26,0.16,-0.02,0.03,0.26,0.18,0.13,0.08,0.03,0.02,2,1.5,1,0.5,0,0,0.43,0.13,0.33,0.03,0.03,0.13,0,32.5,32,31.5,31,30.5,30.4,384.5,0,0.05,-0.08,0.25,0.15,-0.01,0.04,0.25,0.19,0.12,0.09,0.04,0.03,1.6,1.3,1.1,0.9,0.8,0.7,0,0.19,0.15,0.13,68.8,8,5,16,1.1,0.5,0.4,7,3.5,14,1,0.4,0.3
40,0.08,-0.06,0.28,0.18,-0.01,0.04,0.28,0.19,0.14,0.09,0.04,0.03,2,1.5,1,0.5,0,0,0.44,0.14,0.34,0.04,0.04,0.14,0,32.7,32.2,31.7,31.2,30.7,30.6,386,0,0.07,-0.07,0.27,0.17,0,0.05,0.27,0.2,0.13,0.1,0.05,0.04,1.8,1.4,1.2,1,0.9,0.8,0,0.2,0.16,0.14,70,9,6,18,1.3,0.6,0.5,7.8,4,15.5,1.2,0.5,0.4
50,0.1,-0.05,0.3,0.2,0,0.05,0.3,0.2,0.15,0.1,0.05,0.04,2,1.5,1,0.5,0,0,0.45,0.15,0.35,0.05,0.05,0.15,1,33,32.5,32,31.5,31,30.8,387.5,0,0.09,-0.06,0.29,0.19,0.01,0.06,0.29,0.21,0.14,0.11,0.06,0.05,2,1.5,1.3,1.1,1,0.9,1,0.4,0.3,0.25,85,20,10,40,2,1,0.8,18,9,35,1.8,1,0.7
60,0.11,-0.04,0.31,0.21,0.01,0.06,0.29,0.19,0.14,0.09,0.04,0.03,0,-1,-2,-1,0,0,0.46,0.16,0.36,0.06,0.06,0.16,1,33.3,32.8,32.3,31.8,31.3,31.1,389,1,0.1,-0.05,0.3,0.2,0.02,0.07,0.28,0.2,0.13,0.1,0.05,0.04,2.1,1.6,1.4,1.2,1,0.9,1,0.42,0.32,0.27,86,22,12,42,2.2,1.1,0.9,20,10,38,2,1.1,0.8
70,0.12,-0.03,0.32,0.22,0.02,0.07,0.28,0.18,0.13,0.08,0.03,0.02,0,-1,-2,-1,0,0,0.47,0.17,0.37,0.07,0.07,0.17,1,33.6,33.1,32.6,32.1,31.6,31.4,390,1,0.11,-0.04,0.31,0.21,0.03,0.08,0.27,0.19,0.12,0.09,0.04,0.03,2.1,1.7,1.5,1.3,1.1,1,1,0.43,0.33,0.28,87,23,13,44,2.4,1.2,1,21,11,40,2.1,1.2,0.9
80,0.13,-0.02,0.33,0.23,0.03,0.08,0.27,0.17,0.12,0.07,0.02,0.01,0,-1,-2,-1,0,0,0.48,0.18,0.38,0.08,0.08,0.18,1,33.8,33.3,32.8,32.3,31.8,31.6,391,1,0.12,-0.03,0.32,0.22,0.04,0.09,0.26,0.18,0.11,0.08,0.03,0.02,2.2,1.8,1.6,1.4,1.2,1.1,1,0.44,0.34,0.29,88,24,14,46,2.6,1.3,1.1,22,12,42,2.2,1.3,1
90,0.14,-0.01,0.34,0.24,0.04,0.09,0.26,0.16,0.11,0.06,0.01,0,0,-1,-2,-1,0,0,0.49,0.19,0.39,0.09,0.09,0.19,1,34,33.5,33,32.5,32,31.8,392,1,0.13,-0.02,0.33,0.23,0.05,0.1,0.25,0.17,0.1,0.07,0.02,0.01,2.3,1.9,1.7,1.5,1.3,1.2,1,0.45,0.35,0.3,89,25,15,48,2.8,1.4,1.2,23,13,44,2.3,1.4,1.1
