Error Code,Description,Explanation,Suggestion,Reason Removed
C 0 A,No error,Communication established,"Log entry only, no issue",Log entry only – not a real fault
C 1 A 1,Buffer of stored warnings overflowed,,,Communication buffer/setup error – boot/initial is ation phase
C 1 A 2,Out buffer to RS 485 overflowed(problem with Controller message),,,Communication buffer/setup error – boot/initial is ation phase
C 2 A,In buffer overflow,,,Processor overload during initial is ation – setup phase
C 3 A,Processor overloaded,,Review program or remove some external controls and communications,Processor overload during initial is ation – setup phase
C 35 A,Joint ID is undefined,,,Joint ID configuration – setup only
C 36 A,Illegal boot loader command,,,Boot loader error – only occurs during firmware flash/boot
C 55 A 90,"Boot loader error, robot voltage too low or current too high",,,Boot loader error – only occurs during firmware flash/boot
C 55 A 91,"Boot loader error, robot voltage too high",,,Boot loader error – only occurs during firmware flash/boot
C 213 A,No Kinematic Calibration found (calibration.conf file is either corrupt or missing),Calibration.conf file is either corrupt or missing,"A new kinematics calibration may be needed if the robot needs to improve its kinematics, otherwise, ignore this message.",Kinematic calibration – only relevant during calibration procedure
C 214 A,Kinematic Calibration for the robot does not match the joint(s),The calibration checksum stored in the calibration.conf does not match the values from the joint(s),"If moving a program from a different robot to this one, re- kinematic calibrate the second robot to improve kinematics, otherwise ignore this message.",Kinematic calibration – only relevant during calibration procedure
C 214 A 1,The Kinematic Calibration checksum does not match the Base checksum,The calibration checksum stored in the calibration.conf does not match the values from the joint(s),"If moving a program from a different robot to this one, re- kinematic calibrate the second robot to improve kinematics, otherwise ignore this message.",Kinematic calibration – only relevant during calibration procedure
C 214 A 2,The Kinematic Calibration checksum does not match the Shoulder checksum,The calibration checksum stored in the calibration.conf does not match the values from the joint(s),"If moving a program from a different robot to this one, re- kinematic calibrate the second robot to improve kinematics, otherwise ignore this message.",Kinematic calibration – only relevant during calibration procedure
C 214 A 3,The Kinematic Calibration checksum does not match the Elbow checksum,The calibration checksum stored in the calibration.conf does not match the values from the joint(s),"If moving a program from a different robot to this one, re- kinematic calibrate the second robot to improve kinematics, otherwise ignore this message.",Kinematic calibration – only relevant during calibration procedure
C 214 A 4,The Kinematic Calibration checksum does not match Wrist 1 checksum,The calibration checksum stored in the calibration.conf does not match the values from the joint(s),"If moving a program from a different robot to this one, re- kinematic calibrate the second robot to improve kinematics, otherwise ignore this message.",Kinematic calibration – only relevant during calibration procedure
C 214 A 5,The Kinematic Calibration checksum does not match for Wrist 2 checksum,The calibration checksum stored in the calibration.conf does not match the values from the joint(s),"If moving a program from a different robot to this one, re- kinematic calibrate the second robot to improve kinematics, otherwise ignore this message.",Kinematic calibration – only relevant during calibration procedure
C 214 A 6,The Kinematic Calibration checksum does not match for Wrist 3 checksum,The calibration checksum stored in the calibration.conf does not match the values from the joint(s),"If moving a program from a different robot to this one, re- kinematic calibrate the second robot to improve kinematics, otherwise ignore this message.",Kinematic calibration – only relevant during calibration procedure
C 215 A,Kinematic Calibration does not match the robot,The calibration checksum stored in the calibration.conf does not match the values from the joints,Check if the serial number of the robot arm matches the Control Box,Kinematic calibration – only relevant during calibration procedure
C 216 A,The offset of the joint has changed,,The joint has been zeroed by the user. Perform a kinematic calibration to improve kinematics if needed.,Kinematic calibration – only relevant during calibration procedure
C 216 A 1,Base,,The joint has been zeroed by the user. Perform a kinematic calibration to improve kinematics if needed.,Kinematic calibration – only relevant during calibration procedure
C 216 A 2,Shoulder,,The joint has been zeroed by the user. Perform a kinematic calibration to improve kinematics if needed.,Kinematic calibration – only relevant during calibration procedure
C 216 A 3,Elbow,,The joint has been zeroed by the user. Perform a kinematic calibration to improve kinematics if needed.,Kinematic calibration – only relevant during calibration procedure
C 216 A 4,Wrist 1,,The joint has been zeroed by the user. Perform a kinematic calibration to improve kinematics if needed.,Kinematic calibration – only relevant during calibration procedure
C 216 A 5,Wrist 2,,The joint has been zeroed by the user. Perform a kinematic calibration to improve kinematics if needed.,Kinematic calibration – only relevant during calibration procedure
C 216 A 6,Wrist 3,,The joint has been zeroed by the user. Perform a kinematic calibration to improve kinematics if needed.,Kinematic calibration – only relevant during calibration procedure
C 220 A 1,Kinematic Calibration,Actual version on the robot arm is not supported,Update Software,Kinematic calibration – only relevant during calibration procedure
C 220 A 2,Kinematic Calibration,Kinematic Calibration file was replaced with file from the arm,Update Software,Kinematic calibration – only relevant during calibration procedure
C 220 A 3,Kinematic Calibration,Kinematic Calibration uploaded to the arm,Update Software,Kinematic calibration – only relevant during calibration procedure
C 220 A 4,Kinematic Calibration,Kinematic Calibration reuploaded to the arm,Update Software,Kinematic calibration – only relevant during calibration procedure
C 262 A 0 to C 262 A 18,Critical error,A critical error occurred in the communication framework,a) Check communications external and internal b) Do a Complete rebooting sequence c) Check for ES D noise d) Update software e) Contact your local Universal Robots service provider for assistance.,ES D handling note – maintenance/service only
C 265 A 0 to C 265 A 30,Critical error on Joint encoder,A critical error occurred in the Joint Encoder,a) Do a Complete rebooting sequence b) Update robot’s software c) Check for ES D noise d) Update software e) Contact your local Universal Robots service provider for assistance.,ES D handling note – maintenance/service only
C 267 A,Boot loader error,Corrupted firmware,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.,Boot loader error – only occurs during firmware flash/boot
C 267 A 0 to C 267 A 11,Critical error on Boot loar der,A critical error occurred during Firmware upgrade. Hardware configuration mismatch.,"Check your image, S CB, MB or TP for boot loader fixes. Update software.",Boot loader error – only occurs during firmware flash/boot
C 283 A 72,The motor configuration sent by the Control Box is invalid,The motor configuration sent is unusable with this firmware revision.,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.,Firmware version/corruption – occurs during firmware flash/update
C 296 A,Start up check,,,Startup self-check at power-up
